m,family,count,expected_count,ok
5,R1,20,20,True
5,L2,20,20,True
5,R2,20,20,True
5,R3,20,20,True
5,L3_tail,5,5,True
7,R1,42,42,True
7,L2,42,42,True
7,R2,42,42,True
7,R3,42,42,True
7,L3_tail,7,7,True
9,R1,72,72,True
9,L2,72,72,True
9,R2,72,72,True
9,R3,72,72,True
9,L3_tail,9,9,True
11,R1,110,110,True
11,L2,110,110,True
11,R2,110,110,True
11,R3,110,110,True
11,L3_tail,11,11,True
13,R1,156,156,True
13,L2,156,156,True
13,R2,156,156,True
13,R3,156,156,True
13,L3_tail,13,13,True
