module,milestone,current_status,target_status,proof_mode,source_docs,immediate_task,missing_piece,validation_command,notes
D5/Core/Objects.lean,M1,definitional,definitional,direct,"Round1 skeleton; RoundY core notation","Freeze State5/sigma/SigmaZero/Visible4/Hm/Bm definitions","Need final notation audit against source docs","lake build D5.Core.Objects","No theorem promotion here"
D5/Core/Interfaces.lean,M1,definitional,definitional,statement-first,"Apr-01 common spine; round1 report","Separate R_re/R_q and freeze interface shapes","Exact domain/codomain of R_re/R_q still needs source confirmation","lake build D5.Core.Interfaces","Do not identify R_re and R_q"
D5/Canonical/Backbone.lean,M2,workingTheorem,promotedTheorem,statement-first,"RoundY 284; current front report","Extract exact odd-m backbone theorem signatures","Canonical standalone source packet not fully recovered","lake build D5.Canonical.Backbone","Prefer exact signatures before proof"
D5/Canonical/FrontEnd.lean,M2,workingTheorem,promotedTheorem,statement-first,"RoundY 284; front-end notes","Extract T0--T4 exact statements","Need exact quantifiers and side-conditions","lake build D5.Canonical.FrontEnd","Do not over-compress distinct T_i theorems"
D5/Canonical/GraphSide.lean,M2,workingTheorem,workingTheorem,statement-first,"Graph-side closed notes; round1 report","Separate direct theorems from certificate-backed theorems","121/122 likely need certificate-backed treatment","lake build D5.Canonical.GraphSide","Keep color-3 and color-4 lanes distinct"
D5/Canonical/Residual/PromotedCollar.lean,M2,promotedTheorem,promotedTheorem,statement-first,"d5_286; round1 report","Extract promoted collar theorem statements","Need exact dependency split vs 289/297/298/299","lake build D5.Canonical.Residual.PromotedCollar","This is upstream of HmCore"
D5/Canonical/Residual/HmCore.lean,M3,promotedTheorem,promotedTheorem,direct,"d5_300; round1 report","Import H_m master hinge theorem with proof","Need Lean objects for J0/eta0/Xi/Fm and lower-to-hinge lemmas","lake build D5.Canonical.Residual.HmCore","First real proof target"
D5/Canonical/Residual/PostHinge.lean,M7,frontier,frontier,frontier-only,"303/305 frontier notes","Record post-hinge double-top and stitching obligations","Still genuinely open","lake build D5.Canonical.Residual.PostHinge","Do not hide with axioms"
D5/Common/M15r9/TheoremFloor.lean,M4,workingTheorem,promotedTheorem,statement-first,"Apr-01 common spine; round1 report","Extract theorem-floor statements and fix namespace","Need exact object design for R_re/R_q/beta/betaTilde","lake build D5.Common.M15r9.TheoremFloor","Must preserve return-surface separation"
D5/Common/M15r9/StablePacket.lean,M4,promotedTheorem,promotedTheorem,direct,"2026-04-04 stable packet note; round1 report","Formalize all-residue stable packet exact classification","Need stable residual core predicate and Type A/B partition formalization","lake build D5.Common.M15r9.StablePacket","Second real proof target"
D5/Common/M15r9/SeedCases.lean,M4,finiteAppendix,finiteAppendix,certificate-first,"low seeds 39/69/129 and outlier 9 notes","Isolate low seeds and outlier from stable theorem","Need appendix object and proof/certificate strategy","lake build D5.Common.M15r9.SeedCases","Do not mix with stable theorem file"
D5/Common/M15r9/Compression.lean,M5,checkedCertificate,checkedCertificate,certificate-first,"common quotient compression report","Create certificate interface for checked compression","Need checker shape and finite data ingestion method","lake build D5.Common.M15r9.Compression","Not yet a promoted theorem"
D5/Common/M15r9/Portal/Denom16.lean,M6,workingTheorem,workingTheorem,"mixed","denom-16 notes; shared-lexicon report","Split 6/14 theorem lane from 2/10 explicit-packet lane","Need decision: finite data vs compression lemma for 501 source types","lake build D5.Common.M15r9.Portal.Denom16","Do not flatten all residue families together"
D5/Common/M15r9/Portal/Denom8.lean,M6,workingTheorem,workingTheorem,"mixed","denom-8 notes; Apr-05 reduction note","Split r=8s certificate lane from r=8s+4 master-tape lane","Need master tape transport theorem and portal object design","lake build D5.Common.M15r9.Portal.Denom8","r=8s+4 has 11 seam laws and 17 exit laws already isolated"
D5/Certificates.lean,M5,checkedCertificate,checkedCertificate,certificate-first,"round1 report","Create top-level certificate namespace and import discipline","Need common structure for sourceDoc/checker/report/result","lake build D5.Certificates","Keeps checked packets out of theorem namespace"
D5/RouteYExistence/GenericLate.lean,M7,workingTheorem,workingTheorem,statement-first,"RouteY-Existence notes; round1 report","Extract theorem signatures for generic-late support lane","Need exact status split between support theorem and frontier goal","lake build D5.RouteYExistence.GenericLate","Support lane, not canonical main proof"
D5/Gaps.lean,M7,frontier,frontier,frontier-only,"round1 report; documentation log","Centralize open blockers and missing pieces","Need one canonical list of remaining gaps","lake build D5.Gaps","Should mirror documentation.md"
D5/MainTheorem.lean,M8,workingTheorem,workingTheorem,statement-first,"RoundY current front; project imports","Wire formalized/certificated/frontier layers without overclaiming","Need final dependency audit and placeholder audit","lake build D5.MainTheorem","No false closure claims"
D5.lean,M8,workingTheorem,workingTheorem,statement-first,"project root","Final import wiring and audit","Need import hygiene and full-build confirmation","lake build","Top-level export only after audit"
